record_type,sequence,date,event_title,event_type,time_label,start_time,end_time,session_title,session_chair_name,session_chair_affiliation,speaker_name,speaker_affiliation,moderators,participants,location,notes,duty_no,duty,assigned_to,materials_needed
programme,1,"23 May (Saturday), 2026",Welcome and Introduction,welcome,9:00 – 9:05,9:00,9:05,,,,Prof Gilberto K. K. Leung,"Director of the School of Clinical Medicine, LKS Faculty of Medicine, Co-Director of the Centre for Medical Ethics and Law, Clinical Professor and Tsang Wing Hing Professor in Clinical Neuroscience, HKU, Hong Kong SAR.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,2,"23 May (Saturday), 2026","Killing Off the Elderly, Sick, and other Unwanted (Expensive!) Patients",presentation,9:05 – 9:25,9:05,9:25,"Session 1: Medically Assisted Dying Across Worldviews: Secular, Religious, and Ethical Perspectives",Prof Eric C. Ip,"Co-Director of the Centre for Medical Ethics and Law and Professor of the Faculty of Law, HKU, Hong Kong SAR.",Prof Mark J. Cherry,"The Dr. Patricia A. Hayes Professor in Applied Ethics, Professor and Chair, Department of Philosophy, St. Edward’s University, Austin, Texas, United States.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,3,"23 May (Saturday), 2026",How Should Autonomy be Understood in Euthanasia Practice and Policy?,presentation,9:25 –9:45,9:25,9:45,"Session 1: Medically Assisted Dying Across Worldviews: Secular, Religious, and Ethical Perspectives",Prof Eric C. Ip,"Co-Director of the Centre for Medical Ethics and Law and Professor of the Faculty of Law, HKU, Hong Kong SAR.",Dr Simon Walker,"Senior Lecturer, Department of Bioethics, University of Otago, Dunedin, Otago, New Zealand.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,4,"23 May (Saturday), 2026",Interrogating Common Arguments for Physician-Assisted Suicide and Euthanasia,presentation,9:45 – 10:05,9:45,10:05,"Session 1: Medically Assisted Dying Across Worldviews: Secular, Religious, and Ethical Perspectives",Prof Eric C. Ip,"Co-Director of the Centre for Medical Ethics and Law and Professor of the Faculty of Law, HKU, Hong Kong SAR.",Prof Ana S. Iltis,"Carlson Professor of University Studies, Professor of Philosophy, and Director, Center for Bioethics, Health and Society, Wake Forest University, Winston-Salem, North Carolina, United States.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,5,"23 May (Saturday), 2026",Beyond Secular Borders: Islamic Bioethical Perspectives on Euthanasia in Global Discourse,presentation,10:05 – 10:25,10:05,10:25,"Session 1: Medically Assisted Dying Across Worldviews: Secular, Religious, and Ethical Perspectives",Prof Eric C. Ip,"Co-Director of the Centre for Medical Ethics and Law and Professor of the Faculty of Law, HKU, Hong Kong SAR.",Prof Mohammed Ghaly,"Professor of Islam and Biomedical Ethics and Head of the Research Center for Islamic Legislation & Ethics, College of Islamic Studies, Hamad Bin Khalifa University, Doha, Qatar.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,6,"23 May (Saturday), 2026",Discussion,discussion,10:25 – 10:40,10:25,10:40,"Session 1: Medically Assisted Dying Across Worldviews: Secular, Religious, and Ethical Perspectives",Prof Eric C. Ip,"Co-Director of the Centre for Medical Ethics and Law and Professor of the Faculty of Law, HKU, Hong Kong SAR.",,,,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,7,"23 May (Saturday), 2026",Intermission (Tea Break),break,10:40 – 10:50,10:40,10:50,"Session 1: Medically Assisted Dying Across Worldviews: Secular, Religious, and Ethical Perspectives",Prof Eric C. Ip,"Co-Director of the Centre for Medical Ethics and Law and Professor of the Faculty of Law, HKU, Hong Kong SAR.",,,,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,8,"23 May (Saturday), 2026",Is Medically Assisted Death a “Good Death”? From Global to Regioglobal Bioethics,presentation,10:50 – 11:10,10:50,11:10,"Session 2: Medically Assisted Dying: Theoretical, Empirical, and Cross-Cultural Insights",Prof Gilberto K. K. Leung,"Director of the School of Clinical Medicine, LKS Faculty of Medicine, Co- Director of the Centre for Medical Ethics and Law, Clinical Professor and Tsang Wing Hing Professor in Clinical Neuroscience, HKU, Hong Kong SAR.",Prof Ruiping Fan,"Chair Professor of Philosophy, Department of Public and International Affairs, City University of Hong Kong, Hong Kong SAR.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,9,"23 May (Saturday), 2026",Physician-Assisted Suicide: A Reconstruction of an Ethical Perspective from Zhuangzi’s Daoism,presentation,11:10 – 11:30,11:10,11:30,"Session 2: Medically Assisted Dying: Theoretical, Empirical, and Cross-Cultural Insights",Prof Gilberto K. K. Leung,"Director of the School of Clinical Medicine, LKS Faculty of Medicine, Co- Director of the Centre for Medical Ethics and Law, Clinical Professor and Tsang Wing Hing Professor in Clinical Neuroscience, HKU, Hong Kong SAR.",Prof Ellen Y. Zhang,"Professor and Head, Department of Philosophy and Religious Studies, University of Macau, Macau SAR.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,10,"23 May (Saturday), 2026",End-of-Life Autonomy in Taiwan: Public Attitudes Toward Physician-Assisted Dying,presentation,11:30 – 11:50,11:30,11:50,"Session 2: Medically Assisted Dying: Theoretical, Empirical, and Cross-Cultural Insights",Prof Gilberto K. K. Leung,"Director of the School of Clinical Medicine, LKS Faculty of Medicine, Co- Director of the Centre for Medical Ethics and Law, Clinical Professor and Tsang Wing Hing Professor in Clinical Neuroscience, HKU, Hong Kong SAR.",Prof Duan-Rung Chen,"Institute of Health Behaviors and Community Sciences, College of Public Health, National Taiwan University, Taiwan.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,11,"23 May (Saturday), 2026",A Confucian Middle-Way Perspective on Medically Assisted Suicide,presentation,11:50 – 12:10,11:50,12:10,"Session 2: Medically Assisted Dying: Theoretical, Empirical, and Cross-Cultural Insights",Prof Gilberto K. K. Leung,"Director of the School of Clinical Medicine, LKS Faculty of Medicine, Co- Director of the Centre for Medical Ethics and Law, Clinical Professor and Tsang Wing Hing Professor in Clinical Neuroscience, HKU, Hong Kong SAR.",Prof Jue Wang,"Professor of Philosophy, Xi’an Jiaotong University, Xi’an, Shaanxi, Mainland China.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,12,"23 May (Saturday), 2026",Discussion,discussion,12:10 – 12:25,12:10,12:25,"Session 2: Medically Assisted Dying: Theoretical, Empirical, and Cross-Cultural Insights",Prof Gilberto K. K. Leung,"Director of the School of Clinical Medicine, LKS Faculty of Medicine, Co- Director of the Centre for Medical Ethics and Law, Clinical Professor and Tsang Wing Hing Professor in Clinical Neuroscience, HKU, Hong Kong SAR.",,,,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,13,"23 May (Saturday), 2026",Lunch (for invitees only),lunch,12:25 – 14:00,12:25,14:00,"Session 2: Medically Assisted Dying: Theoretical, Empirical, and Cross-Cultural Insights",Prof Gilberto K. K. Leung,"Director of the School of Clinical Medicine, LKS Faculty of Medicine, Co- Director of the Centre for Medical Ethics and Law, Clinical Professor and Tsang Wing Hing Professor in Clinical Neuroscience, HKU, Hong Kong SAR.",,,,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,14,"23 May (Saturday), 2026",In(ter)dependence: the Relational Turn in End-of-Life Ethics,presentation,14:00 – 14:20,14:00,14:20,"Session 3: Medically Assisted Dying in Europe and Beyond: Case Studies from Belgium, Australia, and the UK",Prof Carl Hildebrand,"Assistant Professor, Medical Ethics and Humanities Unit, School of Clinical Medicine, HKU, Hong Kong SAR.",Prof Chris Gastmans,"Full Professor of Medical Ethics and Director of the Centre for Biomedical Ethics and Law, Faculty of Medicine, KU Leuven, Leuven, Belgium.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,15,"23 May (Saturday), 2026",Structural and Ethical Obstacles to Assisted Dying Reform in the UK,presentation,14:20 – 14:40,14:20,14:40,"Session 3: Medically Assisted Dying in Europe and Beyond: Case Studies from Belgium, Australia, and the UK",Prof Carl Hildebrand,"Assistant Professor, Medical Ethics and Humanities Unit, School of Clinical Medicine, HKU, Hong Kong SAR.",Ms Daisy Cheung,"Lecturer of Medical Law and Ethics, Edinburgh Law School, University of Edinburgh, Edinburgh, United Kingdom.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,16,"23 May (Saturday), 2026",Voluntary Assisted Dying Law Reform and Regulation: Australia and Beyond,presentation,14:40 – 15:00,14:40,15:00,"Session 3: Medically Assisted Dying in Europe and Beyond: Case Studies from Belgium, Australia, and the UK",Prof Carl Hildebrand,"Assistant Professor, Medical Ethics and Humanities Unit, School of Clinical Medicine, HKU, Hong Kong SAR.",Prof Ben White,"Professor of End-of-Life Law and Regulation and an Australian Research Council Future Fellow, School of Law, Queensland University of Technology, Brisbane, Queensland, Australia.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,17,"23 May (Saturday), 2026",Discussion,discussion,15:00 – 15:15,15:00,15:15,"Session 3: Medically Assisted Dying in Europe and Beyond: Case Studies from Belgium, Australia, and the UK",Prof Carl Hildebrand,"Assistant Professor, Medical Ethics and Humanities Unit, School of Clinical Medicine, HKU, Hong Kong SAR.",,,,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,18,"23 May (Saturday), 2026",Intermission (Tea Break),break,15:15 – 15:25,15:15,15:25,"Session 3: Medically Assisted Dying in Europe and Beyond: Case Studies from Belgium, Australia, and the UK",Prof Carl Hildebrand,"Assistant Professor, Medical Ethics and Humanities Unit, School of Clinical Medicine, HKU, Hong Kong SAR.",,,,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,19,"23 May (Saturday), 2026",Defining Autonomy in a Family-Centric Culture: The Case of Advance Care Planning and Advance Medical Directives in Hong Kong,presentation,15:25 - 15:45,15:25,15:45,"Session 4: Medically Assisted Dying: Comparative Insights, Potentials, and Local Challenges",Prof Gilberto K. K. Leung,"Director of the School of Clinical Medicine, LKS Faculty of Medicine, Co-Director of the Centre for Medical Ethics and Law, Clinical Professor and Tsang Wing Hing Professor in Clinical Neuroscience, HKU, Hong Kong SAR.",Prof Emmanuel H. L. Cheung,"Clinical Assistant Professor of Practice, Critical Care Medicine Unit and Medical Ethics and Humanities Unit (joint appointment), School of Clinical Medicine, HKU, Hong Kong SAR.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,20,"23 May (Saturday), 2026",Medically Assisted Dying: Comparative Ethical Insights and Reflections,presentation,15:45 - 16:05,15:45,16:05,"Session 4: Medically Assisted Dying: Comparative Insights, Potentials, and Local Challenges",Prof Gilberto K. K. Leung,"Director of the School of Clinical Medicine, LKS Faculty of Medicine, Co-Director of the Centre for Medical Ethics and Law, Clinical Professor and Tsang Wing Hing Professor in Clinical Neuroscience, HKU, Hong Kong SAR.",Dr Md Sanwar Siraj,"Postdoctoral Fellow, Centre for Medical Ethics and Law & Medical Ethics and Humanities Unit, HKU, Hong Kong SAR.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,21,"23 May (Saturday), 2026",Discussion,discussion,16:05 - 16:15,16:05,16:15,"Session 4: Medically Assisted Dying: Comparative Insights, Potentials, and Local Challenges",Prof Gilberto K. K. Leung,"Director of the School of Clinical Medicine, LKS Faculty of Medicine, Co-Director of the Centre for Medical Ethics and Law, Clinical Professor and Tsang Wing Hing Professor in Clinical Neuroscience, HKU, Hong Kong SAR.",,,,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,22,"23 May (Saturday), 2026",Roundtable Discussion,roundtable,16:15 – 17:00,16:15,17:00,"Session 4: Medically Assisted Dying: Comparative Insights, Potentials, and Local Challenges",Prof Gilberto K. K. Leung,"Director of the School of Clinical Medicine, LKS Faculty of Medicine, Co-Director of the Centre for Medical Ethics and Law, Clinical Professor and Tsang Wing Hing Professor in Clinical Neuroscience, HKU, Hong Kong SAR.",,,"Prof Carl Hildebrand, Prof Eric C. Ip, Prof Gilberto K. K. Leung","Prof Duan-Rung Chen, Prof Mark J. Cherry, Ms Daisy Cheung, Prof Emmanuel H. L. Cheung, Prof Ruiping Fan, Prof Chris Gastmans, Prof Mohammed Ghaly, Prof Ana S. Iltis, Dr Md Sanwar Siraj, Dr Simon Walker, Prof Jue Wang, Prof Ben White and Prof Ellen Y. Zhang","Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,23,"23 May (Saturday), 2026",Dinner (invitees only),dinner,After session 4 ends,,,"Session 4: Medically Assisted Dying: Comparative Insights, Potentials, and Local Challenges",Prof Gilberto K. K. Leung,"Director of the School of Clinical Medicine, LKS Faculty of Medicine, Co-Director of the Centre for Medical Ethics and Law, Clinical Professor and Tsang Wing Hing Professor in Clinical Neuroscience, HKU, Hong Kong SAR.",,,,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",Occurs after session 4 concludes,,,,
duty,,,,,,,,,,,,,,,,,1,a. Sharing of Y's phone no. and email address with S? b. Sharing Zoom link with Y c. Inform Y of the location of the slides and recordings,J,
duty,,,,,,,,,,,,,,,,Emergency plan: S will take care of the venue and J will go to the hotel too,2,Meet speaker at 8:00 am on 1/F of Hotel Jen and walk with them to MTR Exit B2 and then through the station to MTR Exit C2 to ACR and Whatsapp J about the siutation,Y,"1. List of non-local speakers 2. Programme booklet, which contains photos 3. a card to be held at the Hotel?"
duty,,,,,,,,,,,,,,,,,3,IT set up (including the display of the background slide) and show the speakers how to use the equipment before the session,S,uploaded to the desktop: 1. MP4 of Prof Chen's video
duty,,,,,,,,,,,,,,,,,4,Put up a poster and seating plan and programme on the wall at the entrance,,1. poster 2. seating plan x2 3. programme x 2 4. glu-tack/ dispensary tape
duty,,,,,,,,,,,,,,,,,5,"Stick a paper ""no."" notice for each seat",Y/J,1. number notice from 1 to [x] 2. dispensary tape
duty,,,,,,,,,,,,,,,,,6,"at the beginning, ensure that the event is being recorded",S,
duty,,,,,,,,,,,,,,,,,7,ensure that the event is being recorded on Zoom and that slides and video recordings are shown properly for Zoom participants throughout the event,S,1. laptop 2. earphones
duty,,,,,,,,,,,,,,,,,8,watch the symposium on phone as a member of the audience to ensure that slides and video recordings are shown properly for Zoom participants throughout the event,,
duty,,,,,,,,,,,,,,,,,9,ensure that both onsite camcorders are on by watching on Zoom,S,
duty,,,,,,,,,,,,,,,,,10,Put room temp water and snacks on the table at the outset,S/J,1. Paper notice for water?
duty,,,,,,,,,,,,,,,,,11,Signing in and giving lanyards and onsite registration,J,1. sign-in sheet for registrants; 2. sign-in sheet for law RPg students; 3. registration form for onsite participants 4. lanyards (orange for speakers; green for participants including Julie Chen and WYNG representatives; black for temp registrants; red for suppor team) 5. laptop for checkinng emails and watching on Zoom 6. programme booklet to be provided if needed
duty,,,,,,,,,,,,,,,,,12,Show the participant location of his/her seat (if not busy),J & (after arrival at venue) Y,1. seating plan
duty,,,,,,,,,,,,,,,,,13,Refill Water for water jugs on head table during break and forfor water jugs on tables in the lobby during break,,1. access to pantry on 9/F (water dispenser inside pandry)
duty,,,,,,,,,,,,,,,,,14,Time keeper,S,"1. ""1 minute left"" card and ""Time is u""p card"
duty,,,,,,,,,,,,,,,,,15,Change slides,S/Y,uploaded to the desktop: 1. slides;
duty,,,,,,,,,,,,,,,,,16,Play video recording and click maximise quality,S/Y,uploaded to the desktop: 1. MP4 of Prof Chen's video
duty,,,,,,,,,,,,,,,,,17,Change name stands at the head table (seat nos. 89-93),S/Y,Name stands for all speakers and chairs and Julie Chen
duty,,,,,,,,,,,,,,,,,18,"In the morning break, (a) pick up 2 boxes of salad wraps and 2 pots of Coffee and 1 pot of tea at Alfafa and put them on the table (*two queues for food and drinks) and (b) put cutlery and tissue on table",Y,1. receipts 2. paper notices each showing description of the food or drink
duty,,,,,,,,,,,,,,,,,19,"In the afternoon break, (b) pick up 2 boxes of fruit tarts and 2 pots of Coffee and 1 pot of tea at Alfafa and put them on the table (*two queues for food and drinks) and (b) put cutlery and tissue on table",J,1. receipts 2. paper notices each showing description of the food or drink
duty,,,,,,,,,,,,,,,,,20,"hold a ""?"" card, accompany speakers to Bijas, the restaurant for lunch (1:40 pm)",S,"1. ""?"" card"
duty,,,,,,,,,,,,,,,,,21,Be at Bijas at 1:40 pm to accompany the speakers back to ACR,S,
duty,,,,,,,,,,,,,,,,,22,"hold a ""?"" card, accompany speakers to SCR, the restaurant for dinner",S,"1. ""?"" card"
duty,,,,,,,,,,,,,,,,,23,stay in ACR if any equipment is left there and in case anyone leaves any belonging behind? Main entrance of ACR will not be locked,J/Y,1. takeaway lunch
duty,,,,,,,,,,,,,,,,,24,Collect lanyards used,J,Box for collection of lanyards
duty,,,,,,,,,,,,,,,,,25,"Be the MC, in particular, invite each chair to present a set of metal bookmarks to each speaker at thend of session 1, 2 and 3 and after presentation of Dr Siraj",SI,
duty,,,,,,,,,,,,,,,,,26,Give souvenir to chair for presentation to each of the eleven speakers,Y,1. 11 sets of metal bookmarks plus one spare set?
duty,,,,,,,,,,,,,,,,,27,Taking 1 photo for presentation of each souvenir and group photos for each session and for the whole conference and taking photos throughout the symposium,S,1. phone for taking photos
duty,,,,,,,,,,,,,,,,,28,Ensure that the two glass doors and (after ensuring that no one is in the washroom) the wood door are locked,J,
